"Id","Response"
1,3
3,6
4,6
9,6
12,7
13,7
21,6
28,8
30,5
36,7
38,8
43,7
45,3
48,8
50,6
51,7
54,5
55,7
59,8
62,2
63,7
66,8
69,8
82,8
83,7
84,5
86,8
89,8
90,4
92,8
98,5
100,1
105,5
115,8
119,1
124,1
127,8
133,7
140,4
141,8
143,4
151,3
154,8
157,8
163,4
166,1
168,8
170,5
173,8
180,6
182,8
184,4
185,8
195,7
196,7
197,5
212,5
213,7
219,8
225,2
227,3
232,4
239,5
247,4
251,4
254,5
261,7
264,7
267,8
272,7
275,8
277,4
283,7
284,2
287,7
291,8
293,6
294,4
305,7
307,3
309,8
311,4
322,2
323,3
326,6
330,1
335,8
337,8
338,4
341,1
346,5
348,4
352,2
356,8
358,2
366,6
369,4
373,5
375,4
381,6
384,8
386,4
396,8
397,1
399,7
405,8
412,7
417,2
421,5
425,7
427,7
430,3
432,5
433,7
436,8
438,7
441,8
442,5
444,5
446,8
448,7
450,7
454,7
465,8
470,5
472,4
475,8
484,8
495,8
497,8
498,8
501,5
502,6
505,7
515,3
516,6
527,8
529,3
531,7
533,5
537,1
541,7
546,8
548,6
549,8
550,6
553,8
559,8
561,2
564,1
574,5
578,7
579,6
580,8
582,4
584,8
588,6
596,4
602,3
603,3
613,7
614,1
619,7
620,7
624,5
625,7
628,4
630,5
635,7
636,4
637,8
641,8
644,8
648,8
654,8
658,4
664,8
666,7
667,7
670,8
672,5
674,8
676,8
684,8
685,5
693,1
694,7
700,2
702,6
703,5
705,6
711,7
718,1
722,7
726,4
727,3
732,8
735,7
740,2
748,7
750,7
751,8
756,8
762,6
766,8
770,7
771,4
779,7
782,2
784,8
793,6
798,4
800,5
801,7
805,6
807,4
813,8
819,8
820,6
822,8
823,8
833,8
834,4
842,2
845,7
856,6
860,4
864,2
869,7
872,8
877,5
878,6
893,7
894,8
896,5
899,5
900,6
911,1
914,7
917,1
919,7
923,1
925,5
926,2
934,6
938,7
940,5
955,5
956,7
971,6
973,8
978,8
979,8
981,8
988,7
990,8
992,2
996,8
997,5
999,6
1000,8
1006,5
1009,2
1018,5
1025,4
1038,8
1042,8
1045,5
1046,8
1047,4
1050,4
1052,7
1054,8
1057,6
1061,2
1069,5
1071,7
1073,6
1074,8
1075,3
