offer,category,quantity,company,offervalue,brand
1190530,9115,1,108500080,5,93904
1194044,9909,1,107127979,1,6732
1197502,3203,1,106414464,0.75,13474
1198271,5558,1,107120272,1.5,5072
1198272,5558,1,107120272,1.5,5072
1198273,5558,1,107120272,1.5,5072
1198274,5558,1,107120272,1.5,5072
1198275,5558,1,107120272,1.5,5072
1199256,4401,1,105100050,2,13791
1199258,4401,1,105100050,2,13791
1200578,1703,1,104460040,1.5,7668
1200579,1703,1,104460040,1.5,7668
1200581,1726,1,104460040,1.25,7668
1200582,1726,1,104460040,1.25,7668
1200584,3504,1,104460040,1.25,7668
1200988,3509,1,103320030,2,875
1203052,9909,1,1089520383,1,28840
1203439,5122,1,107106878,1.5,17311
1204576,5616,1,104610040,1,15889
1204821,5619,1,107717272,1.5,102504
1204822,5619,1,107717272,1.5,102504
1208251,2202,1,104460040,2,3718
1208252,2202,1,104460040,3,3718
1208329,2119,1,108079383,1,6926
1208501,6202,1,1087744888,1.5,64486
1208503,6202,1,1087744888,1.5,64486
1213242,5824,1,105190050,2,26456
1219900,799,1,1076211171,1.5,17286
1219903,799,1,1076211171,1.5,17286
1220502,4517,1,105450050,1.5,1322
1220503,4517,1,105450050,1.5,1322
1221658,7205,2,103700030,3,4294
1221663,7205,1,103700030,1.5,4294
1221665,7205,1,103700030,1.5,4294
1221666,7205,1,103700030,1.5,4294
1221667,7205,1,103700030,2,4294
1230218,706,1,104127141,1,26189
