Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-02-05,42.3100,2.5720,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.0964,8.1060,False
1,2010-02-12,38.5100,2.5480,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.2422,8.1060,True
1,2010-02-19,39.9300,2.5140,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.2891,8.1060,False
1,2010-02-26,46.6300,2.5610,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.3196,8.1060,False
1,2010-03-05,46.5000,2.6250,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.3501,8.1060,False
1,2010-03-12,57.7900,2.6670,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.3806,8.1060,False
1,2010-03-19,54.5800,2.7200,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.2156,8.1060,False
1,2010-03-26,51.4500,2.7320,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.0180,8.1060,False
1,2010-04-02,62.2700,2.7190,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.8204,7.8080,False
1,2010-04-09,65.8600,2.7700,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.6229,7.8080,False
1,2010-04-16,66.3200,2.8080,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.4887,7.8080,False
1,2010-04-23,64.8400,2.7950,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.4391,7.8080,False
1,2010-04-30,67.4100,2.7800,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.3895,7.8080,False
1,2010-05-07,72.5500,2.8350,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.3400,7.8080,False
1,2010-05-14,74.7800,2.8540,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.3374,7.8080,False
1,2010-05-21,76.4400,2.8260,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.6171,7.8080,False
1,2010-05-28,80.4400,2.7590,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,210.8968,7.8080,False
1,2010-06-04,80.6900,2.7050,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.1764,7.8080,False
1,2010-06-11,80.4300,2.6680,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4561,7.8080,False
1,2010-06-18,84.1100,2.6370,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4538,7.8080,False
1,2010-06-25,84.3400,2.6530,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.3387,7.8080,False
1,2010-07-02,80.9100,2.6690,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.2235,7.7870,False
1,2010-07-09,80.4800,2.6420,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.1084,7.7870,False
1,2010-07-16,83.1500,2.6230,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.1004,7.7870,False
1,2010-07-23,83.3600,2.6080,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.2351,7.7870,False
1,2010-07-30,81.8400,2.6400,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.3699,7.7870,False
1,2010-08-06,87.1600,2.6270,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.5047,7.7870,False
1,2010-08-13,87.0000,2.6920,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.6394,7.7870,False
1,2010-08-20,86.6500,2.6640,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.6034,7.7870,False
1,2010-08-27,85.2200,2.6190,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.5673,7.7870,False
1,2010-09-03,81.2100,2.5770,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.5312,7.7870,False
1,2010-09-10,78.6900,2.5650,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4952,7.7870,True
1,2010-09-17,82.1100,2.5820,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.5225,7.7870,False
1,2010-09-24,80.9400,2.6240,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.5972,7.7870,False
1,2010-10-01,71.8900,2.6030,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.6720,7.8380,False
1,2010-10-08,63.9300,2.6330,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.7468,7.8380,False
1,2010-10-15,67.1800,2.7200,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.8137,7.8380,False
1,2010-10-22,69.8600,2.7250,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.8613,7.8380,False
1,2010-10-29,69.6400,2.7160,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.9088,7.8380,False
1,2010-11-05,58.7400,2.6890,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.9564,7.8380,False
1,2010-11-12,59.6100,2.7280,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,212.0039,7.8380,False
1,2010-11-19,51.4100,2.7710,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.8897,7.8380,False
1,2010-11-26,64.5200,2.7350,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.7484,7.8380,True
1,2010-12-03,49.2700,2.7080,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.6072,7.8380,False
1,2010-12-10,46.3300,2.8430,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4660,7.8380,False
1,2010-12-17,49.8400,2.8690,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4053,7.8380,False
1,2010-12-24,52.3300,2.8860,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4051,7.8380,False
1,2010-12-31,48.4300,2.9430,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4049,7.8380,True
1,2011-01-07,48.2700,2.9760,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4047,7.7420,False
1,2011-01-14,35.4000,2.9830,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.4574,7.7420,False
1,2011-01-21,44.0400,3.0160,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,211.8272,7.7420,False
1,2011-01-28,43.8300,3.0100,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,212.1971,7.7420,False
1,2011-02-04,42.2700,2.9890,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,212.5669,7.7420,False
1,2011-02-11,36.3900,3.0220,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,212.9367,7.7420,True
1,2011-02-18,57.3600,3.0450,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,213.2479,7.7420,False
1,2011-02-25,62.9000,3.0650,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,213.5356,7.7420,False
1,2011-03-04,59.5800,3.2880,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,213.8233,7.7420,False
1,2011-03-11,53.5600,3.4590,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,214.1111,7.7420,False
1,2011-03-18,62.7600,3.4880,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,214.3627,7.7420,False
1,2011-03-25,69.9700,3.4730,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,214.5999,7.7420,False
1,2011-04-01,59.1700,3.5240,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,214.8372,7.6820,False
1,2011-04-08,67.8400,3.6220,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.0744,7.6820,False
1,2011-04-15,71.2700,3.7430,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.2919,7.6820,False
1,2011-04-22,72.9900,3.8070,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.4599,7.6820,False
1,2011-04-29,72.0300,3.8100,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.6280,7.6820,False
1,2011-05-06,64.6100,3.9060,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.7960,7.6820,False
1,2011-05-13,75.6400,3.8990,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.9641,7.6820,False
1,2011-05-20,67.6300,3.9070,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.7339,7.6820,False
1,2011-05-27,77.7200,3.7860,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.5038,7.6820,False
1,2011-06-03,83.0000,3.6990,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.2737,7.6820,False
1,2011-06-10,83.1300,3.6480,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.0435,7.6820,False
1,2011-06-17,86.4100,3.6370,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,214.9981,7.6820,False
1,2011-06-24,83.5800,3.5940,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.0911,7.6820,False
1,2011-07-01,85.5500,3.5240,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.1841,7.9620,False
1,2011-07-08,85.8300,3.4800,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.2772,7.9620,False
1,2011-07-15,88.5400,3.5750,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.3611,7.9620,False
1,2011-07-22,85.7700,3.6510,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.4223,7.9620,False
1,2011-07-29,86.8300,3.6820,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.4834,7.9620,False
1,2011-08-05,91.6500,3.6840,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.5446,7.9620,False
1,2011-08-12,90.7600,3.6380,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.6058,7.9620,False
1,2011-08-19,89.9400,3.5540,7032.3718,3384.1766,1760.1002,3292.9359,4132.2164,215.6693,7.9620,False
